名词(中文)	名词(英文)	解释(中文)	解释(英文)
叶脉	Nerve	叶的明显而简单脉或肋。	A prominent, simple vein or rib of a leaf. See illustration for midvein.
叶柄	Petiole	叶的柄。	A leaf stalk.
小叶柄	Petiolule	复叶中小叶的叶柄。	The stalk of a leaflet of a compound leaf.
羽片	Pinna (pl. Pinnae)	羽状复叶的一回羽状小叶。见小叶的插图。	one of the primary divisions or leaflets of a pinnate leaf. See illustration for leaflet.
小羽片	Pinnule	二回或二回以上羽状复叶的末级羽片。	The pinnate division of a pinna in a bipinnately compound leaf, or the ultimate divisions of a leaf which is more than twice pinnately compound.
叶轴	Rachis	复叶的主轴。	The main axis of a compound leaf.
叶轴	Rhachis	复叶的主轴。	The main axis of a compound leaf.
肋	Rib	叶片上主要的纵脉。	A main longitudinal vein in a leaf.
裂片	Segment	叶的裂片。	A section or division of a leaf.
凹缺	Sinus	叶两裂片之间的缺裂、凹陷。	The cleft, depression, or recess. Between two lobes of a leaf.
托叶	Stipule	某些叶柄基部成对的叶状附属物。	One of a pair of leaf-like appendages found at the base of the petiole in some leaves.
卷须	Tendril	柔弱并具缠绕性器官，用以支撑物攀缘生长。	A slender, twining organ used to grasp support form climbing.
齿	Tooth	边缘上的小裂片或尖。	Any small lobe or point along a margin.
脉	Vein	维管束，通常外形可见，如叶中。	A vascular bundle, usually visible externally, as in leaves.
细脉	Veinlet	小的脉。	A small vein.
平卧的	Prostrate	平铺在地面上。	Lying flat on the ground.
具翅茎的	Pterocaulous	茎具翅。	With winged stems.
垫状的	Pulvinate	枕状或垫状。	Cushion-like or mat-like.
垫状的	Pulviniform	枕状或垫状。	Cushion-like or mat-like.
四棱的	Quadrangular	具四个棱角。	Four-angled.
四棱的	Quadrangulate	具四个棱角。	Four-angled.
枝状的	Ramiform	枝条状的；分枝的。	Branchlike in form; branched.
多枝的	Ramose	具许多分枝的；分枝。	With many branches; branching.
多枝的	Ramous	具许多分枝的；分枝。	With many branches; branching.
多小枝的	Ramulose	具许多分枝的；分枝。	With many branches; branching.
拱垂的	Reclining	向下弯曲，靠着某物并由其支撑。	Bending or curving downward. Lying upon something and being supported by it.
横卧的	Recumbent	依靠或躺在地面；平卧的。	Leaning or resting on the ground; prostrate.
匍匐（生根）的	Repent	平卧的；匍匐的。	Prostrate; creeping.
根状茎的	Rhizomatous	具根状茎。	With rhizomes.
莲座状的	Rosulate	具有莲座状排列的叶，茎干极短或无。	With the leaves arranged in basal rosettes, the stem very short or lacking .
多头的	Multicipital	具有多个头，高度分枝的茎基。	With many heads, as in a highly branched caudex.
具节的	Nodiferous	具节。	With nodes.
裸茎的	Nudicaul	无叶的茎。	With leafless stem.
直枝的	Orthocladous	具直立的枝条。	With straight branches.
直生的	Orthotropic	具有近似或表现出直立生长的习性。	Of, pertaining to, or exhibiting an essentially vertical growth habit.
粗枝的	Pachycladous	具粗壮枝条。	With thick branches.
多头的	Pluricipital	具有多个头，高度分枝的茎基。	With many heads, as in a highly branched caudex.
平卧的	Procumbent	茎沿地面上生长，但在节外不生根。	Lying or trailing on the ground, but not rooting at the nodes.
角质层	Cuticle	茎表面的蜡质层。	The waxy layer on the surface of a stem.
上胚轴	Epicotyl	6子叶着生处以上的胚轴部分。	That portion of the embryonic stem above the cotyledons.
表皮	Epidermis	茎上最外面的细胞层。	The outermost cellular layer of a stem.
心材	Heartwood	木本茎干最内的颜色通常较深的木材。	The innermost, usually somewhat darker wood of a woody stem.
下胚轴	Hypocotyl	子叶着生处以下的胚轴部分。	That portion of the embryonic stem below the cotyledons.
节间	Internode	茎上两个节之间的部分。	The portion of a stem between two nodes.
节、关节	Joint	茎上着生叶或枝的部位；节，尤见于禾草本茎。	The section of a stem from which a leaf or branch arises; a node, especially on a grass stem.
叶痕	Leaf scar	叶脱落后留在枝上的痕迹。	The scar remaining on a twig after a leaf falls.
皮孔	Lenticel	幼茎表面略隆起的、木栓化的、凸镜状的结构。	A slightly raised, somewhat corky, often lens-shaped area on the surface of a young stem.
分生组织	Meristem	苗端生长点未分化的具有活跃分裂能力的组织。	Undifferentiated, actively dividing tissues at the growing tip of a shoot.
节	Node	茎上叶和枝的发生部位。	The position on the stem where leaves or branches originate.
韧皮部	Phloem	维管植物传输营养物质的组织；	The food conducting tissue of vascular plants; bark.
髓	Pith	某些茎和根中央的海绵状薄壁组织。	The spongy, parenchymatous central tissue in some stems and roots.
皮刺	Prickle	表皮或树皮上小而尖的突起。	A small , sharp outgrowth of the epidermis or bark.
边材	Sapwood	木本茎中新产生的颜色通常较淡的木材，具有输导水分的功能；边材。	The outer, newer, usually somewhat lighter, wood of woody stem; the wood that is actively transporting water; alburnum.
中柱	Stele	茎的初生维管结构，包括维管组织和维管组织以内的所有组织。	The primary vascular structure of a stem, including the vascular tissues and all tissues internal to the vascular tissues.
树干	Trunk	树的分枝以下的主茎。	The main stem of a tree below the branches.
小枝	Twig	树上的小枝条。	A small shoot or branch from a tree.
鳞茎	Bulb	具有增厚肉质鳞片的地下芽，如洋葱。	An underground bud with thickened fleshy scales, as in the onion.
珠芽	Bulbel	从鳞茎基部生出的小鳞茎。	A small bulb arising form the base of a larger bulb.
珠芽	Bulbil	小的鳞茎。	A small bulb.
小鳞茎	Bulblet	小的鳞茎。	A small bulb.
斜方形的	Rhomboidal	近菱形,侧面为钝角的四边形。	Quadrangular, nearly rhombic, with obtuse lateral angles.
圆形的	Rotund	轮廓呈圆形。	Round or rounded in outline.
箭头形的	Sagittate	形似箭头，基部裂片向下（对比hastate）。	Arrowhead-shaped, with the basal lobes directed downward. (compare hastate)
匙形的	Spathulate	形似勺，先端圆形向基部变细。	Like a spatula in shape, with a rounded blade above gradually tapering to the base.
匙形的	Spatulate	形似勺，先端圆形向基部变细。	Like a spatula in shape, with a rounded blade above gradually tapering to the base.
钻形的	Subulate	形状如锥。	Awl-shaped.
两侧相等的	Aequilateral	两边相等，相对于偏斜的。	Equal-sided, as opposed to oblique.
渐狭的	Attenuate	向基部逐渐变窄。	Tapering gradually to a narrow base.
耳形的	Auriculate	具有耳状的附属物。	With ear-shaped appendages.
心形的	Cordate	心形，基部内凹。	Heart-shaped, with the notch at the base.
楔形的	Cuneate	形状如楔，三角锥形且基部渐尖。	Wedge-shaped, triangular and tapering to a point at the base.
耳形的	Eared	具有耳状的附属物。	With ear-shaped appendages.
戟形的	Halberd-shaped	形似箭头，基部裂片向外而非向下；戟形（对比sagittate）。	Arrowhead-shaped, but with the basal lobes turned outward rather than downward; halberd-shaped. (compare sagittate)
戟形的	Hastate	形似箭头，基部裂片向外而非向下；戟形（对比sagittate）。	Arrowhead-shaped, but with the basal lobes turned outward rather than downward; halberd-shaped. (compare sagittate)
不等侧的	Inequilateral	具不相等的边，斜的。	With unequal side; slanting.
偏斜的	Oblique	具不相等的边，斜的。	With unequal side; slanting.
圆形的	Rounded	基部圆形。	With a rounded base.
箭头形的	Sagittate	形似箭头，基部裂片向下（对应hastate）。	Arrowhead-shaped, with the basal lobes directed downward.(compare hastate)
截形的	Truncate	基部方形，刀切状。	With the base squared at the end as if cut off.
突然的	Abrupt	骤然终止。	Terminating suddenly.
渐尖的	Acuminate	叶顶尖锐，叶尖两侧叶缘内凹。	Gradually tapering to a sharp point and forming concave sides along the tip.
急尖的	Acute	叶顶尖锐，叶尖两侧叶缘近直。	Tapering to a pointed apex with more or less straight sides.
具细尖的	Apiculate	叶先端骤然终止于细尖。	Ending abruptly in small, slender point.
具芒的	Aristate	顶尖具芒或刚毛。	Bearing an awn or bristle at the tip.
具小芒的	Aristulate	顶尖具芒或刚毛。	Bearing a m minute awn or bristle at the tip.
尾状的	Caudate	具有尾状的附属物。	With a tail-like appendage.
卷须状的	Cirrhous	具有卷须。	With a cirrus (tendril).
有卷须的	Cirrose	具有卷须。	With a cirrus (tendril).
骤尖的	Cuspidate	先端短而急尖（尖突）。	Tipped with a short, sharp, abrupt point (cusp).
微缺的	Emarginate	先端略内凹。	With a notch at the apex.
被丛卷毛的	Floccose	具有成丛的长软而缠结的毛。	Bearing tufts of long, soft, tangled hairs.
被短丛卷毛的	Flocculent	具有成丛的细小绵状毛；被丛卷毛的。	Bearing tufts of very fine woolly hairs; floccose.
具沟的	Fluted	具沟或槽的。	With furrow or grooves.
具孔穴的	Foveate	具孔穴；具凹坑的。	With foveae; pitted.
①有小孔穴的②蜂窝状的	Foveolate	具小穴；具小凹坑。	With foveolae; minutely pitted.
具流苏的	Fringed	沿边缘具毛或刚毛。	With hairs or bristles along the margin.
软鳞片状的	Furfuraceous	皮屑状的；糠秕状的；薄片状的。	Scurfy; branlike; flaky.
脱毛的	Glabrate	变光滑，几近无毛的。	Becoming glabrous; almost glabrous.
变无毛的	Glabrescent	变光滑，几近无毛的。	Becoming glabrous; almost glabrous.
①光滑的②无毛的	Glabrous	光滑的；无毛的。	Smooth; hairless.
具腺的	Glandular	具有腺体。	Bearing glands.
带白霜的	Glaucescent	微具白霜；呈苍白色。	Somewhat glaucous; becoming glaucous.
有白霜的	Glaucous	被覆白色或兰色的腊质粉霜层，如李子的表面。	Covered with a whitish or bluish waxy coating (bloom), as on the surface of a plum.
具倒刺的	Glochidiate	顶端具倒刺。	Barbed at the tip.
胶黏的	Glutinous	胶质的；粘性的；被覆粘的分泌物。	Gluey; sticky; gummy; covered with a sticky exudation.
具长硬毛的	Hirsute	具有粗糙而坚硬的毛。	Pubescent with coarse, stiff hairs.
具微糙硬毛的	Hirsutulous	具有非常小的粗糙而坚硬的毛。	Pubescent with very small, coarse, stiff hairs.
具微糙硬毛的	Hirtellate	具有非常小的粗糙而坚硬的毛。	Pubescent with very small, coarse, stiff hairs.
具微糙硬毛的	Hirtellous	具有非常小的粗糙而坚硬的毛。	Pubescent with very small, coarse, stiff hairs.
具糙硬毛的	Hispid	粗糙具坚硬的毛。	Rough with firm, stiff hairs.
具短硬毛的	Hispidulous	细小的硬毛。	Minutely hispid.
具灰白毛的	Hoary	具灰色或白色的短细毛。	With gray or white short, fine hairs.
被细绢毛的	Holosericeous	被覆细的丝状毛。	Covered with fine, silky hairs.
被灰白毛的	Incanous	具发白的柔毛。	With a whitish pubescence.
无刺的	Inermous	无皮刺或棘。	Lacking spines, prickles, or thorns.
条裂的	Laciniate	裂成窄的不规则的圆裂片或条裂片。	Cut into narrow, irregular lobes or segments.
浅裂的	Lobed	裂片分裂不及基部或中脉的一半。	Bearing lobes which are cut less than half way to the base or midvein.
具小裂片的	Lobulate	具有小裂片。	With lobules.
多裂的	Multifid	半裂成许多狭窄的条裂片或圆裂片。	Cleft into many narrow segments or lobes.
掌状的	Palmate	自同一点上如手掌状分出。	Lobed, veined, or divided from a common point, like the fingers of a hand. (compare pinnate).
具微刺的	Spinulose	具微刺。	Bearing spinules.
具刺的	Spiny	具刺。	With spines.
具鳞片的	Squamate	被覆鳞片。	Covered with scales (squamae).
具小鳞片的	Squamulose	具小的鳞片。	With minute squamellae.
星状的	Stellate	星形的，如从基部辐射状分出多枝的毛。	Star-shaped, as in hairs with several to many branches radiating from the base.
短尖的	Mucronate	先端短而急尖（短尖头）。	Tipped with a short, sharp, abrupt point (mucro).
具小短尖的	Mucronulate	先端具极小短尖头。	Tipped with a very small mucro.
钝的	Muticous	钝，没有叶尖或刺。	Blunt, without a point or spine.
倒心形的	Obcordate	先端具深缺刻。	With a deeply notched apes.
钝的	Obtuse	先端钝圆；顶角大于90度。	Blunt or rounded at the apex; with the sides coming together a the apex at an angle greater than 90 degrees.
齿蚀状	Praemorse	骤然终止，如同被咬断的。	Terminating abruptly, as if bitten off.
锐尖的 辛辣的	Pungent	先端坚硬；气味或味道强烈刺激。	Tipped with a sharp, rigid point; with a sharp, acrid odor or taste.
微凹的	Retuse	圆或钝的先端具浅缺刻。	With a shallow notch in a round or blunt apex.
圆形的	Rounded	先端圆形。	With a rounded apex.
亚尖的，近尖的	Subacute	接近圆形。	Slightly acute.
截形的	Truncate	先端方形，刀切状。	With the apex squared at the end as if cut off.
偶数羽状的	Abruptly pinnate	顶端不具奇数小叶的羽状复叶。	Pinnate without an odd leaflet at the tip. Same as even-pinnate.
两叶的	Bifoliate	具有两片叶或小叶。	With two leaves or two leaflets.
二回羽状的	Bipinnate	二回复叶，二回羽裂。	Twice pinnate; with the divisions again pinnately divided.
二回三出的	Biternate	二回三出分裂。	Doubly ternate with the ternate divisions again ternate divided.
复叶	Compound leaf	具两枚或两枚以上小叶的叶。	A leaf separated into two or more distinct leaflets.
多回复叶	Decompound	一回以上的复叶，小叶多级。	More than once-compound, the leaflets again divided.
偶数羽状的	Even-pinnate	顶生一对小叶或卷须而非单枚顶生小叶的羽状复叶，因而小叶数为偶数。	Pinnately compound with a terminal pair of leaflets or a tendril rather than a single terminal leaflet, so that there is an even number of leaflets.
具小叶的	Foliolate	具小叶或与小叶相关的；如具两枚小叶或三枚小叶。	Pertaining to or having leaflets; usually used in compounds, such as bifoliolate or trifoliolate.
奇数羽状的	Imparipinnate	奇数羽状复叶，不等的羽状裂。	Odd-pinnate; unequally pinnate.
参差羽状的	Interruptedly pinnate	大小不同的小叶混合排列成的复叶。	Pinnate with leaflets of various sizes intermixed.
奇数羽状的	Odd-pinnate	顶生单枚小叶而非一对小叶或卷须的羽状复叶，因而小叶数为奇数。	Pinnately compound with a terminal leaflet rather than a pair of leaflets or a tendril, so that there is an odd number of leaflets.
掌状的	Palmate	自同一点上如手掌状分出的。	Lobed, veined, or divided from a common point, like the fingers of a hand. (compare pinnate)
羽状的	Pinnate	小叶沿长轴两侧相对排列的复叶。	A compound leaf with leaflets arranged on opposite sides of an elongated axis. (compared palmate)
单叶的	Simple	完整的，如叶片不分成小叶（但叶片可能深裂或具缺刻）	Undivided, as a leaf blade which is not separated into leaflets (though the blade may be deeply lobed or cleft).
卷须羽状复叶	Tendril-pinnate	羽状复叶，但顶端为卷须，如香豌豆。	Pinnately compound, but ending in a tendrill, as in the sweet pea.
三出的	Ternate	以三的数目，如具三枚小叶的复叶。	In threes, as a leaf which is divided into three leaflets.
具三叶的	Trifoliate	具三叶或三小叶	With three leaves or three leaflets.
具三叶的	Trifoliolate	具三叶或三小叶	With three leaves or three leaflets.
三回羽状的	Tripinnate	具羽状小羽片的三回羽状复叶。	Pinnately compound three times, with pinnate pinnules.
三回三出的	Triternate	三回三出	Triply ternate.
奇数羽状的	Unequally pinnate	顶生单枚小叶而非一对小叶或卷须的羽状复叶，因而小叶数为奇数。	Pinnately compound with a terminal leaflet rather than a pair of leaflets or a tendril, so that there is an odd number of leaflets.
具一小叶的	Unifoliate	理论上是复叶，实际为单个小叶，看似一枚单叶的叶子，如紫荆。	A leaf theoretically compound, though only expressing a single leaflet and appearing simple, as in Cercis.
叶（蕨类，棕榈，苏铁类）	Frond	大而分裂的叶；真蕨或棕榈叶。	A large, divided leaf; a fern or palm leaf.
联生叶的	Gamophyllous	叶联生，通常在叶缘相联。	With the leaves united, usually by the margins.
具异形叶的	Heterophyllous	同一植物上具有不同类型的叶子。	With different kinds of leaves on the same plant.
具异色边的	Limbate	具边的，如叶或花中一种颜色形成的边围绕着不同颜色的其它部分。	Bordered, as in a leaf or flower in which one color forms an edging or margin around another.
大型叶	Macrophyll	高等维管植物中相对大而伸展的叶。	The relatively large, expanded leaf of higher vascular plants.
凋存的	Marcescent	凋而不落，如某些花的萼片和花瓣或某些植物基部的叶片。	Withering but persistent, as the sepals and petals in some flowers or the leaves at the base of some plants.
具边的	Marginate	具有明显的边缘。	With a distinct margin.
基生叶茂盛的	Phyllopodic	最基部的叶发育良好，不退化为鳞片。	With the lowest leaves well developed, not reduced to scales.
具托叶的	Stipulate	具有托叶。	Bearing stipules.
肉质多汁的	Succulent	多汁且肉质，如芦荟属的叶片。	Juicy and fleshy, as the leaves of Aloe.
脉序	Venation	叶脉的式样。	The pattern of veining on a leaf.
具皮刺的	Aculeate	具皮刺的；被覆皮刺。	Prickly; covered with prickles.
被小刺的，稍具皮刺的	Aculeolate	具小皮刺的；被覆着小皮刺。	Minutely prickly; covered with tiny prickles.
蜂窝状的	Alveolar	蜂窝状，窝孔被薄的脊状隔壁分隔。	Honey-combed, with pits separated by thin, ridged partitions.
蜂窝状的	Alveolate	蜂窝状，窝孔被薄的脊状隔壁分隔。	Honey-combed, with pits separated by thin, ridged partitions.
有孔的	Aperturate	具一个或多个开口或孔。在花粉粒中，这些孔可能仅仅是薄的区域，而不是真正的穿孔。	With one or more openings or apertures. In pollen grains, these apertures may be only thin spots rather than actual perforations.
具蛛丝状毛的	Arachnoid	具有长的、蛛网似的、缠结在一起的毛。	Bearing long, cobwebby, entangled hairs.
银灰色的	Argenteous	具银色光泽的。	Silvery.
具刺的	Armed	具棘、刺、倒钩或皮刺。	Bearing thorns, spines, barbs, or prickles.
粗糙的	Asperous	手感粗糙。	Rough to the touch.
具短硬毛的，具倒刺毛的	Barbellate	具短而硬的毛或倒刺毛。	With short, stiff hairs or barbs.
具小短硬毛的，具小倒刺毛的	Barbellulate	具非常小的短硬毛或倒刺毛。	With very tiny short, stiff hairs or barbs.
具小叶柄的	Petiolulate	小叶具柄。	With a petiolule.
无柄的	Sessile	直接着生，无梗柄、如无柄的叶子。	Attached directly, without a supporting stalk, as a leaf without a petiole.
具鞘的	Sheathing	形成鞘，如禾草叶基部形成包裹着围茎的鞘。	Forming a sheath, as the leaf base of a grass forms a sheath as it surrounds the stem.
互生的	Alternate	每个节上着生一个，如茎上着生的叶。	Borne singly at each node, as leaves on a stem. (compare opposite)
基生的	Basal	位于或从基部发出，如叶从茎的基部发出。	Positioned at or arising from the base, as leaves arising from the base of the stem.
两侧的	Bilateral	排列在两边，如茎上着生的叶。	Arranged on two sides, as leaves on a stem.
茎生的	Cauline	叶从茎的地上部分发出。	Leaves arising from the stem above ground level.
交互对生的	Decussate	在茎上成对排列，相邻各对之间彼此呈直角。	Arranged along the stem in pairs, with each pair at right angles to the pair above or below.
右旋的	Dextrorse	向右转或向右螺旋排列，如叶片在一些基干上的排列方式。	Turned to the right or spirally arranged to the right, as in the leaves on some stems.
二列的	Distichous	在轴的相对两侧呈垂直的行或列排列。	In two vertical ranks or rows on opposite sides of an axis.
套折的	Equitant	两列间彼此交叠，如鸢尾属的叶。	Overlapping or straddling in two ranks, as the leaves of Iris.
对生的	Opposite	在同一节的相对两侧着生，如茎的一个节上着生两片叶子。	Borne across from one another at the same node, as in a stem with two leaves per node. (compare alternate).
成列的	Ranked	排列成竖行。	Arranged into vertical rows.
莲座丛	Rosette	叶子通常密集呈辐射状排列在地面或近地面上。	A dense radiating cluster of leafs usually at or near ground level.
莲座状的	Rosulate	基生莲座状排列，茎干极短或无。	With the leaves arranged in basal rosettes, the stem very short or lacking.
左旋的	Sinistrorse	向左转或向左螺旋排列，如某些茎上着生的叶。	Turned to the left or spirally arranged to the left, as in the leaves on some stems.
轮生的	Verticillate	成轮排列；轮生。	Arranged in vertical; whorled.
轮生的	Whorled	各部分成轮排列，如同在一节上发出3片或更多叶子，等同轮生的（verticillate）。	With parts arranged in whorled, as in a leaf arrangement with three or more leaves arising from a node.
拳卷的	Circinate	从顶端向下卷曲，如真蕨的幼叶。	Coiled from the tip downward, as in the young leaves of a fern.
具卷须的	Cirrhiferous	具有卷须。	Bearing a tendril.
摺叠的	Complicate	折叠在一起。	Folded together.
对折的	Conduplicate	上表面沿长轴折叠在一起，如许多禾草叶。	Folded together lengthwise with the upper surface within, as the leaves of many grasses.
脱落的	Deciduous	凋落，如叶从树上脱落；非常绿的；不宿存。	Falling off, as leaves from a tree; not evergreen; not persistent.
无托叶的	Estipulate	没有托叶。	Without stipules.
常绿的	Evergreen	在冬季也具绿色的叶子；非落叶的。	Having green leaves through the winter; not deciduous.
无托叶的	Exstipulate	没有托叶。	Without stipules.
针状的	Acerose	针形，如松或云杉的叶。	Needle-shaped, as the leaves of pine or spruce.
锥形的	Awl-shaped	短的，窄三角形的，锐尖如锥。	Short, narrowly triangular, and sharply pointed like an awl.
心形的	Cordate	心形，基部内凹。	Heart-shaped, with the notch at the base.
正三角形的	Deltoid	如希腊字母“Δ”形，形似等边三角形。	With the shape of the Greek letter delta; shaped like and narrower at the two equal ends.
具长柔毛的	Villose	具蓬松的非垫状长软毛。	Bearing long, soft, shaggy, but unmatted, hairs.
微柔毛的	Villosulous	小柔毛。	Diminutive if villous.
具长柔毛的	Villous	具蓬松的非垫状长软毛。	Bearing long, soft, shaggy, but unmatted, hairs.
黏的	Viscid	黏性的或胶性的。	Sticky or gummy.
微黏的	Viscidulous	稍黏。	Slightly sticky.
具绵状毛的	Woolly	具缠结的长软毛；绵状毛的。	With long, soft, entangled hairs; lanate.
苞片	Bract	在花或花序基部的退化的叶或叶状结构。	A reduced leaf or leaf-like structure at the base of a flower or inflorescence.
小苞片	Bracteole	着生于花序梗上的小的苞片。	A small bract borne on a peduncle.
小苞片	Bractlet	着生于花序梗上的小的苞片。	A small bract borne on a peduncle.
壳斗	Cupule	槲果杯状总苞	A cup-shaped involucre, as in an acorn.
花盘	Disk	菊科具总苞的的头状花序上着生管状花或心花的中央部分。	In the Compositae (Asteraceae), the central portion of the involucrate head bearing tubular or disk flowers.
副萼	Epicalyx	与外轮花萼相似的总苞，如锦葵属。	An involucre which resembles an outer calyx, as in Malva.
小花	Floret	小的花；密集花簇中的单个花，如禾草小穗中的一朵花，或者菊科头状花序中的一朵花。	A small flower; an individual flower within a dense cluster, as a grass flower in a spikelet, or a flower of the Compositae (Asteraceae) in an involucrate head.
花	Flower	植物的生殖部分，具雄蕊或雌蕊，或二者兼备，通常还包括由萼片或者由萼片和花瓣组成的花被。	The reproductive portion of the plant, consisting of stamens, pistils, or both, and usually including a perianth of sepals or both sepals and petals.
小总苞	Involucel	小型的总苞；二级总苞，如伞形科二级伞形花序的苞片。	A small involucre; a secondary involucre, as in the bracts of the secondary umbels in the Umbelliferae (Apiaceae).
总苞	Involucre	包被花或花簇的一轮苞片。	A whorl of bracts subtending a flower or flower cluster.
总苞	Involucrum (pl. Involucra)	包被花或花簇的一轮苞片。	A whorl of bracts subtending a flower or flower cluster.
花托	Torus (pl. tori)	着生花部器官的花梗部分；在菊科中指着生头状花序花的花序梗部分。	The portion of the pedicel upon which the flower parts are borne; in the Compositae (Asteraceae), the part of the peduncle where the flowers of the head are borne.
轮生	Whorl	自同一点或节上长出的相似部分的环状排列形式；环生。	A ring-like arrangement of similar parts arising form a common point or node; a verticil.
辐射对称	Actinomorphic	辐射状对称，通过结构中央的任一平面都能将其分成互为镜像的两部分。	Radially symmetrical, so that a line drawn through the middle of the structure along any plane will produce a mirror image on either side.
辐射对称	Actinomorphous	辐射状对称，通过结构中央的任一平面都能将其分成互为镜像的两部分。	Radially symmetrical, so that a line drawn through the middle of the structure along any plane will produce a mirror image on either side.
不整齐的	Irregular	两侧对称；指花各部分的大小及其在花托上的排列方式均不相似。	Bilaterally symmetrical; said of a flower in which all parts are not similar in size and arrangement on the receptacle.
两侧对称	Monosymmetrical	两侧对称。	Bilaterally symmetrical; zygomorphic.
反常整齐的	Peloria	两侧对称花中异常的辐射对称类型。	Radial symmetry in flowers normally bilaterally symmetrical.
整齐的	Regular	辐射对称；花各部分的大小及其在花托上的排列方式均相似。	Radially symmetrical; said of a flower in which all parts are similar in size and arrangement on the receptacle.
